asmbl,id,len,type,description
GCF_002012065.1_ASM201206v1_genomic,NZ_CP018979.1,5228864,chromosome,"NZ_CP018979.1 Escherichia coli strain Ecol_656 chromosome, complete genome"
GCF_002012065.1_ASM201206v1_genomic,NZ_CP018978.1,117844,plasmid,"NZ_CP018978.1 Escherichia coli strain Ecol_656 plasmid pEC656_1, complete sequence"
GCF_002012065.1_ASM201206v1_genomic,NZ_CP018977.1,58431,plasmid,"NZ_CP018977.1 Escherichia coli strain Ecol_656 plasmid pEC656_KPC, complete sequence"
GCF_900622635.1_B36_genomic,NZ_LR130545.1,5147585,chromosome,NZ_LR130545.1 Escherichia coli strain B36 isolate B36 chromosome 1
GCF_900622635.1_B36_genomic,NZ_LR130546.1,112588,plasmid,NZ_LR130546.1 Escherichia coli strain B36 isolate B36 plasmid 2
GCF_900622635.1_B36_genomic,NZ_LR130547.1,1545,plasmid,NZ_LR130547.1 Escherichia coli strain B36 isolate B36 plasmid 3
GCF_002012165.1_ASM201216v1_genomic,NZ_CP019015.1,5099988,chromosome,"NZ_CP019015.1 Escherichia coli strain Ecol_AZ162 chromosome, complete genome"
GCF_002012165.1_ASM201216v1_genomic,NZ_CP019013.1,109057,plasmid,"NZ_CP019013.1 Escherichia coli strain Ecol_AZ162 plasmid pECAZ162_2, complete sequence"
GCF_002012165.1_ASM201216v1_genomic,NZ_CP019014.1,142829,plasmid,"NZ_CP019014.1 Escherichia coli strain Ecol_AZ162 plasmid pECAZ162_KPC, complete sequence"
GCF_905218875.2_AI2598v1_cp_genomic,NZ_OW848785.1,5039657,chromosome,"NZ_OW848785.1 Escherichia coli isolate 131 chromosome main, complete sequence"
GCF_905218875.2_AI2598v1_cp_genomic,NZ_OW848786.1,109001,plasmid,"NZ_OW848786.1 Escherichia coli isolate 131 plasmid P1, complete sequence"
GCF_905218875.2_AI2598v1_cp_genomic,NZ_OW848787.1,4082,plasmid,"NZ_OW848787.1 Escherichia coli isolate 131 plasmid P2, complete sequence"
GCF_030708195.1_ASM3070819v1_genomic,NZ_CP107122.1,5071232,chromosome,"NZ_CP107122.1 Escherichia coli strain S9 chromosome, complete genome"
GCF_030708195.1_ASM3070819v1_genomic,NZ_CP107123.1,171301,plasmid,"NZ_CP107123.1 Escherichia coli strain S9 plasmid pS9-S4K58-1, complete sequence"
GCF_030708195.1_ASM3070819v1_genomic,NZ_CP107124.1,4082,plasmid,"NZ_CP107124.1 Escherichia coli strain S9 plasmid pS9-S4K58-2, complete sequence"
GCF_030708195.1_ASM3070819v1_genomic,NZ_CP107125.1,1822,plasmid,"NZ_CP107125.1 Escherichia coli strain S9 plasmid pS9-S4K58-3, complete sequence"
GCF_001593565.1_ASM159356v1_genomic,NZ_CP014316.1,5081061,chromosome,"NZ_CP014316.1 Escherichia coli JJ1887 chromosome, complete genome"
GCF_001593565.1_ASM159356v1_genomic,NZ_CP014317.1,1552,plasmid,"NZ_CP014317.1 Escherichia coli JJ1887 plasmid pJJ1887-1, complete sequence"
GCF_001593565.1_ASM159356v1_genomic,NZ_CP014318.1,5167,plasmid,"NZ_CP014318.1 Escherichia coli JJ1887 plasmid pJJ1887-2, complete sequence"
GCF_001593565.1_ASM159356v1_genomic,NZ_CP014319.1,5631,plasmid,"NZ_CP014319.1 Escherichia coli JJ1887 plasmid pJJ1887-3, complete sequence"
GCF_001593565.1_ASM159356v1_genomic,NZ_CP014321.1,107507,plasmid,"NZ_CP014321.1 Escherichia coli JJ1887 plasmid pJJ1887-4, complete sequence"
GCF_001593565.1_ASM159356v1_genomic,NZ_CP014320.1,130603,plasmid,"NZ_CP014320.1 Escherichia coli JJ1887 plasmid pJJ1887-5, complete sequence"
GCF_015138575.1_ASM1513857v1_genomic,NZ_AP022525.1,5255588,chromosome,"NZ_AP022525.1 Escherichia coli strain THO-003 chromosome, complete genome"
GCF_015138575.1_ASM1513857v1_genomic,NZ_AP022526.1,123467,plasmid,"NZ_AP022526.1 Escherichia coli strain THO-003 plasmid pTHO-003-1, complete sequence"
GCF_029991195.1_ASM2999119v1_genomic,NZ_CP124332.1,5285675,chromosome,"NZ_CP124332.1 Escherichia coli strain AVS0753 chromosome, complete genome"
GCF_029991195.1_ASM2999119v1_genomic,NZ_CP124333.1,105993,plasmid,"NZ_CP124333.1 Escherichia coli strain AVS0753 plasmid pAVS0753-A, complete sequence"
GCF_030708235.1_ASM3070823v1_genomic,NZ_CP107128.1,5247286,chromosome,"NZ_CP107128.1 Escherichia coli strain S7 chromosome, complete genome"
GCF_030708235.1_ASM3070823v1_genomic,NZ_CP107129.1,123735,plasmid,"NZ_CP107129.1 Escherichia coli strain S7 plasmid pS7-S3K40-1, complete sequence"
GCF_030708235.1_ASM3070823v1_genomic,NZ_CP107130.1,6200,plasmid,"NZ_CP107130.1 Escherichia coli strain S7 plasmid pS7-S3K40-2, complete sequence"
GCF_030708235.1_ASM3070823v1_genomic,NZ_CP107131.1,5167,plasmid,"NZ_CP107131.1 Escherichia coli strain S7 plasmid pS7-S3K40-3, complete sequence"
GCF_030708235.1_ASM3070823v1_genomic,NZ_CP107132.1,4088,plasmid,"NZ_CP107132.1 Escherichia coli strain S7 plasmid pS7-S3K40-4, complete sequence"
GCF_030708235.1_ASM3070823v1_genomic,NZ_CP107133.1,1546,plasmid,"NZ_CP107133.1 Escherichia coli strain S7 plasmid pS7-S3K40-5, complete sequence"
GCF_030708315.1_ASM3070831v1_genomic,NZ_CP107142.1,5127186,chromosome,"NZ_CP107142.1 Escherichia coli strain S3 chromosome, complete genome"
GCF_905330875.2_AI2949v1_cpp_genomic,NZ_OW968277.1,5212580,chromosome,"NZ_OW968277.1 Escherichia coli isolate 131 chromosome main, complete sequence"
GCF_905330875.2_AI2949v1_cpp_genomic,NZ_OW968278.1,128607,plasmid,"NZ_OW968278.1 Escherichia coli isolate 131 plasmid P1, complete sequence"
GCF_905330875.2_AI2949v1_cpp_genomic,NZ_OW968279.1,6647,plasmid,"NZ_OW968279.1 Escherichia coli isolate 131 plasmid P2, complete sequence"
GCF_030708135.1_ASM3070813v1_genomic,NZ_CP107114.1,5259570,chromosome,"NZ_CP107114.1 Escherichia coli strain S14 chromosome, complete genome"
GCF_030708135.1_ASM3070813v1_genomic,NZ_CP107115.1,119061,plasmid,"NZ_CP107115.1 Escherichia coli strain S14 plasmid pS14-1129-1, complete sequence"
GCF_030708135.1_ASM3070813v1_genomic,NZ_CP107116.1,61312,plasmid,"NZ_CP107116.1 Escherichia coli strain S14 plasmid pS14-1129-2, complete sequence"
